                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77533,                0.76687,                 1.3041,                0.99127,                 0.9983,                  0.995,                0.77379,                0.96164,                0.49013,                 1.2111,             0.00020425,             0.00020425,             0.00020425
                     36,                0.77113,                0.76571,                  1.312,                 0.9914,                      1,                  0.995,                0.73984,                 1.0799,                0.46245,                 1.2968,             0.00019188,             0.00019188,             0.00019188
                     37,                0.74974,                0.74467,                 1.3008,                0.98921,                      1,                  0.995,                0.77023,                0.97864,                0.46118,                 1.2192,              0.0001795,              0.0001795,              0.0001795
                     38,                0.74536,                0.73827,                 1.2986,                0.98889,                      1,                  0.995,                0.81492,                0.84369,                0.43475,                 1.1428,             0.00016713,             0.00016713,             0.00016713
                     39,                0.72693,                 0.7137,                 1.2817,                0.99239,                      1,                  0.995,                0.81512,                0.81879,                0.42867,                 1.1314,             0.00015475,             0.00015475,             0.00015475
                     40,                0.74007,                 0.7137,                 1.3007,                0.99273,                      1,                  0.995,                0.82282,                0.78168,                0.41757,                 1.0952,             0.00014237,             0.00014237,             0.00014237
                     41,                0.60121,                0.59298,                 1.1838,                0.99356,                      1,                  0.995,                0.74169,                 1.0783,                0.47971,                 1.2983,                0.00013,                0.00013,                0.00013
                     42,                0.55734,                0.53654,                 1.1521,                0.98936,                      1,                  0.995,                0.75984,                 1.0095,                0.46802,                 1.2621,             0.00011763,             0.00011763,             0.00011763
                     43,                0.54892,                0.51689,                 1.1459,                  0.989,                      1,                  0.995,                0.74917,                 1.0761,                0.47709,                 1.3082,             0.00010525,             0.00010525,             0.00010525
                     44,                0.53157,                 0.5072,                 1.1254,                 0.9912,                      1,                  0.995,                0.81735,                 0.7544,                0.41128,                 1.0852,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                0.51362,                0.48578,                 1.1104,                0.99287,                      1,                  0.995,                0.78247,                 0.9064,                0.42378,                  1.177,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                0.49981,                0.47689,                 1.1033,                0.99397,                      1,                  0.995,                0.82546,                0.78454,                0.39365,                 1.0961,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                0.50258,                0.47082,                 1.1024,                0.99142,                      1,                  0.995,                0.81355,                0.80018,                0.40193,                 1.1065,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                0.47039,                0.45766,                 1.0776,                0.99398,                      1,                  0.995,                0.80457,                0.86159,                0.40952,                 1.1374,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                0.47726,                0.46399,                 1.0809,                0.99318,                      1,                  0.995,                0.81585,                 0.8111,                 0.4016,                 1.1101,                3.1e-05,                3.1e-05,                3.1e-05
                     50,                0.45346,                0.45039,                 1.0572,                0.99431,                      1,                  0.995,                0.80617,                0.83603,                0.40896,                 1.1242,             1.8625e-05,             1.8625e-05,             1.8625e-05
